latitude,longitude
36.18528,117.12
25.030724,121.520076
37.86944,112.56028
32.31841,119.88116
28.66266,121.43312
39.63333,118.18333
39.14666667,117.2055556
34.57952,105.74238
42.29306,123.84139
31.09407,105.08731
41.71972,125.92639
43.6125,122.26528
30.90466,117.80103
27.71722,109.18528
42.94769,89.17886
40.9906,113.12401
43.80096,87.60046
36.71,119.10194
37.50914,122.11356
34.50355,109.50891
23.36306,104.25047
27.99942,120.66682
39.68442,106.81583
30.58333,114.26667
31.33728,118.37351
37.92672,102.63202
31.52853,120.28429
37.9867,106.201
23.48333,111.31667
24.47979,118.08187
34.25833,108.92861
27.85,112.9
32.0422,112.14479
29.84347,114.32201
34.33778,108.70261
30.92689,113.92221
27.89642,102.26341
29.26969,88.88697
37.06306,114.49417
36.62554,101.75739
35.19033,113.80151
32.12278,114.06556
27.80429,114.93335
38.40429,112.74619
30.94622,118.75634
34.03189,113.86299
34.28823,117.18554
30.0106,103.0383
36.5571,109.4806
33.3575,120.1573
21.85563,111.96272
37.8575,113.56333
32.39722,119.43583
42.9075,129.50778
37.47649,121.44081
28.76667,104.62383
30.71444,111.28472
47.72143,128.87529
27.7887,114.4369
38.46806,106.27306
40.63897,122.24762
28.23902,117.03708
28.58917,112.32833
26.44014,111.6029
29.37455,113.09481
22.63333,110.15
38.2669,109.713
35.02306,110.99278
22.92833,112.03954
34.39802,94.19021
24.355,102.54222
34.86472,117.55417
29.12944,110.47833
40.81,114.87944
38.93417,100.45167
24.51333,117.65556
21.28145,110.34271
23.04893,112.46091
27.31667,103.71667
34.75778,113.64861
32.21086,119.45508
22.51595,113.3926
37.51129,105.19067
33.63333,114.63333
29.98869,122.20488
22.27694,113.56778
32.97944,114.02944
27.83333,113.15
36.79056,118.06333
29.34162,104.77689
30.11758,104.6522
27.68667,106.90722
